mouse_speed,mouse_jitter,click_frequency,typing_speed,pause_duration
31.236203565420873,19.260714596148745,62,251,0.12374511199743694
24.680559213273096,7.33991780504304,30,267,0.07340463611641415
24.286004537658222,14.763327094232793,72,437,0.14717976673069672
48.1565812704725,5.011681487615215,79,340,0.06780602616231217
35.74269294896713,11.479175279631736,68,238,0.08597358462589853
21.399969896408464,19.606332782621887,34,369,0.02721522256123595
38.55158027999262,10.73692986900744,71,310,0.17338867727990093
40.40922615763339,11.757488779543145,37,268,0.1934700862841663
44.25192044349383,9.56920653760056,72,271,0.09362897381052425
23.661147045343366,12.427653651669052,66,214,0.1827708763949686
27.763399448000506,14.93783426530973,21,233,0.11387495307522313
25.545633665765813,19.54376941646838,45,223,0.18850479889719593
46.844820512829465,13.968499682166277,67,394,0.10895850940490649
48.835160730480474,17.66800773017227,64,232,0.12148272147613116
48.95765921792414,14.10551371530027,64,220,0.06629196608377566
24.958008171890075,5.234546101117909,28,308,0.04775597949149276
20.165663513708072,17.231921426822513,36,342,0.16013335270092907
38.17879924343034,18.894513177700233,77,220,0.18384233835331837
45.50115733369398,11.74176011207305,52,227,0.08045546791767061
40.065237579908214,14.98883534926245,63,393,0.17857042108950205
34.16644775485848,6.793913689074525,33,310,0.15454915923721052
36.83831592708489,16.564507699318415,58,386,0.09123279348812442
20.762573802322855,6.618371404899567,51,410,0.10032034240460123
36.89826715929151,15.432741296391912,56,410,0.08797275537676964
42.66653415629146,8.431972482374338,51,366,0.14200913727754388
46.41403517045773,14.3653107220069,76,313,0.09674156839175294
26.553213116505006,11.247649218055493,30,307,0.16341362948117188
46.8827389977048,9.770052124577958,52,300,0.1654228055252737
45.82191749769031,5.104281957967861,27,316,0.10211769455820681
40.77308098670811,9.041185006977823,43,339,0.10857021813123956
41.090568766855334,10.45444403568941,68,231,0.05690645193933423
40.889128185193655,15.68405884886663,56,292,0.19957069215929896
28.00343042825855,19.64922433748979,47,233,0.01627963925110419
30.35213744080049,14.515270170520457,21,232,0.10299602445273696
49.56951362331802,8.630829072672507,23,382,0.08023434665166684
27.264798148322775,17.04709634569844,24,277,0.13037064504457
36.073240522242756,6.354346550816125,52,380,0.07094821234462981
25.595555311995625,5.611627123321458,39,431,0.13873722875003366
20.497634867835686,12.681395874489215,38,327,0.13258283017779549
25.23099287014974,15.364066071536989,58,308,0.13838112223746335
42.05648357722316,8.136074311065705,50,278,0.05342450414148694
25.248647812878087,19.732525149941534,71,239,0.05955754321777772
49.887610992737734,19.481290269331904,24,216,0.17770090520597456
25.66121325024138,9.183070288882728,38,387,0.18045094939098966
46.61259272795352,16.698133187864357,43,295,0.025986593349059277
24.84886142283841,18.478312827906187,39,433,0.011747439807159633
23.044146285980965,14.952526536620837,48,373,0.14146008756161174
39.55883778507801,8.364039641908397,52,247,0.05507732662439201
29.76199094477803,16.197371076770363,27,314,0.14697858560790458
29.241823755571676,13.13810345832349,78,201,0.05635803224202588
49.190316642573364,10.896465870001407,73,443,0.12991633893947996
43.84433910624945,12.539556396577883,47,326,0.11868079784974479
43.056620429189266,5.654056576316506,63,399,0.09928945765827915
28.38681025390276,18.252410333993886,79,412,0.19108365093455112
29.92250914011541,13.291474502532349,50,278,0.1962630009060487
22.260387680183847,9.585455289307728,51,340,0.07021518097969276
25.084782400582775,13.352018936875252,50,233,0.14224566136824487
37.10183510268095,6.457647406561528,51,330,0.03661596289493957
35.5498895709121,18.160596078919333,36,283,0.14243299078910093
41.07452251961328,10.392367268296328,48,349,0.1637786195409176
44.30340184037542,18.006084778701556,32,215,0.1616760840036873
39.498917923332954,15.52950315886555,35,321,0.17910101494533762
30.139854705546075,10.63374428959916,21,394,0.1376849657060879
29.844580024241957,7.325624250916163,41,237,0.01579504748841939
21.12044566247643,17.339008409894873,73,280,0.10922621941041283
43.09980659295832,8.237315412452649,24,282,0.02621601834881592
21.55045163505823,12.97031947352222,66,323,0.1954118950978816
35.48901044903586,9.844347094118689,36,299,0.0614581277397941
33.16914262116909,6.17684572013399,56,296,0.02536586365726756
32.84943424820323,15.327498511480496,20,237,0.1838906082490313
33.27056689193313,8.59681038736105,73,227,0.04474453945038839
48.03841992019129,14.574058907650256,58,371,0.11532726997716612
38.35162238703057,11.294000936416849,31,333,0.0776348089437397
42.735383313931074,5.2159023294463385,33,399,0.018740501984133025
21.221864069569104,17.831908760165106,71,383,0.013260609348032545
42.90093269011733,17.103694655761693,55,433,0.09243181335521487
31.955142031921206,14.237751470783246,24,279,0.018607761856688457
31.238378438794136,14.387898735713545,77,275,0.17273306982578124
39.760808948568354,7.444016406221445,43,426,0.1894078034537818
46.01596800665011,14.54605396169017,39,331,0.13866198505276653
37.201011250158004,6.9275052985086525,70,280,0.12892853731929885
44.61280531313804,14.77227157786682,62,223,0.06205261419101542
26.437673591251226,10.658886248419638,70,421,0.13977128694910781
22.13565945380687,9.784634454406419,45,269,0.0747186681982056
27.820835847077092,12.440561814401093,77,293,0.12949914088817796
46.32416040581159,16.026065657058286,40,428,0.11411465781713659
32.704128269243554,13.527804256249375,54,356,0.14901307350693166
23.830691882673968,8.75024673824157,51,331,0.1747521553698472
36.85600076431321,8.578952896855103,74,192,0.15058266448500118
27.147084572119383,10.665933292644423,68,241,0.10434662622978476
31.688542586576105,9.464527617639664,38,356,0.020162206382000093
48.75624490649595,17.707147161433845,28,385,0.13858628184061764
34.47562848927927,12.395384866577075,35,248,0.06571004662263226
29.85993636109748,15.087776841155577,55,232,0.16040001830791123
43.68854428383662,6.368091545730356,61,365,0.020936164403162413
36.485866469712064,11.622957520600655,42,400,0.07667385238489495
23.512010492828175,7.144875230792538,29,432,0.16931134511515716
32.78274425140823,8.338646263565458,28,301,0.037854916121484845
35.39978506077179,8.498421086367918,27,324,0.18997722970293315
49.58003191468613,16.300672778884124,25,431,0.025865136172747064
43.3144074778231,13.376063746037076,46,381,0.18220733316799984
